Reason Category,Percentage (%),Notes
Clean/low-carbon energy source,40,"Includes ""environmentally friendly"""
Nuclear is efficient,20,
Nuclear is safe/well-regulated,13,"Includes ""well-staffed"""
Economic benefits (NET),13,Total of economic sub-categories
It is cost effective,9,Sub-category of Economic benefits
It can reduce cost of electricity,3,Sub-category of Economic benefits
Will create jobs,1,Sub-category of Economic benefits
Nuclear is reliable/dependable,10,
Need varied energy sources,9,"Includes ""keep up with demand"""
Better than other energy sources (NET),8,Total of comparison sub-categories
Better than fossil fuels,3,Sub-category of Better than other
Better in general/The best source,3,Sub-category of Better than other
Better than renewables,2,Sub-category of Better than other
The technology has improved,5,
If managed correctly it is safe,5,Conditional safety
Mentions drawbacks/concerns as well as benefits,3,Mixed sentiment
Overall support/good source of energy,2,General positive
Only dislike due to cultural fear/stigma,2,
Unclear,3,
Other,5,
Don't know,1,
No answer,15,